,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,8.0,73.0,8,192.0,Nintendo,E
1,Wii Play,Wii,2006.0,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,5.8,41.0,6.6,129.0,Nintendo,E
2,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,8.7,80.0,8.4,594.0,Nintendo,E
3,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,9.1,64.0,8.6,464.0,Nintendo,E
4,Wii Fit,Wii,2007.0,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,8.0,63.0,7.7,146.0,Nintendo,E
5,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,6.1,45.0,6.3,106.0,Good Science Studio,E
6,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,8.0,33.0,7.4,52.0,Nintendo,E
7,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,9.7,50.0,8.2,3994.0,Rockstar North,M
8,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,9.5,80.0,9,1588.0,Rockstar North,M
9,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,7.7,58.0,7.9,50.0,Nintendo,E
10,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,9.7,58.0,8.1,3711.0,Rockstar North,M
11,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,9.5,62.0,8.7,730.0,Rockstar North,M
12,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,7.7,37.0,7.1,19.0,Nintendo,E
13,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,9.5,54.0,8.4,314.0,Polyphony Digital,E
14,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,8.8,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M
15,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,8.7,89.0,6.3,1454.0,Treyarch,M
16,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,8.3,21.0,5.3,922.0,Treyarch,M
17,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,8.3,73.0,4.8,2256.0,Treyarch,M
18,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,9.4,100.0,6.3,2698.0,Infinity Ward,M
19,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,8.8,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M
20,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,9.7,56.0,8.5,664.0,DMA Design,M
21,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,9.3,81.0,8.9,1662.0,Game Arts,T
22,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,8.8,58.0,6.4,1094.0,Treyarch,M
23,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,8.6,57.0,8.7,242.0,Nintendo,E
24,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,9.8,86.0,7.9,2951.0,Rockstar North,M
25,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,9.6,16.0,8.7,138.0,Polyphony Digital,E
26,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,9.0,82.0,8.4,921.0,Nintendo,E
27,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,8.4,82.0,7.5,1112.0,Polyphony Digital,E
28,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,9.4,67.0,6.3,2073.0,Infinity Ward,M
29,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,9.8,64.0,7.5,2833.0,Rockstar North,M
30,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,7.3,29.0,2.6,2117.0,Infinity Ward,M
31,Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,7.4,15.0,7.8,16.0,Ubisoft,E10+
32,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,7.8,70.0,7.2,424.0,Nintendo,E
33,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,9.1,99.0,7.9,2045.0,Bungie,M
34,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.2,20.0,9.2,1282.0,SquareSoft,T
35,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,8.7,87.0,7,3260.0,343 Industries,M
36,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,9.3,23.0,9,135.0,Polyphony Digital,T
37,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,7.4,24.0,7.3,24.0,Ubisoft,E10+
38,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,7.1,10.0,2.6,1047.0,Infinity Ward,M
39,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,9.4,70.0,8.4,1320.0,Infinity Ward,M
40,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,8.8,70.0,8.7,626.0,Nintendo,E
41,Mario Party DS,DS,2007.0,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,7.2,27.0,7.8,85.0,Hudson Soft,E
42,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,9.6,89.0,8.4,3589.0,Bethesda Game Studios,M
43,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,8.2,42.0,4.3,896.0,EA Sports,E
44,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,9.5,91.0,8.2,1218.0,Bungie Software,M
45,Wii Party,Wii,2010.0,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,6.8,42.0,7.4,54.0,Nd Cube,E
46,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,8.8,37.0,6.6,348.0,Electronic Arts,E
47,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,9.7,68.0,8.6,1283.0,Bungie Software,M
48,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,9.3,113.0,7.9,7064.0,Naughty Dog,T
49,Medal of Honor,PS3,2010.0,Shooter,Electronic Arts,1.28,1.04,0.07,0.42,2.81,7.5,56.0,7.5,286.0,"EA DICE, Danger Close",M
